song_ids,song_names,song_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
6usohdchdzW9oML7VC4Uhk,Lose Control,Teddy Swims,0.561,0.604,9.0,-4.409,1.0,0.0337,0.199,1.9e-05,0.104,0.242,159.92,audio_features,spotify:track:6usohdchdzW9oML7VC4Uhk,https://api.spotify.com/v1/tracks/6usohdchdzW9oML7VC4Uhk,https://api.spotify.com/v1/audio-analysis/6usohdchdzW9oML7VC4Uhk,210689.0,3.0
1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,0.596,0.658,0.0,-7.346,1.0,0.036,0.0504,0.0,0.127,0.176,100.012,audio_features,spotify:track:1Iq8oo9XkmmvCQiGOfORiz,https://api.spotify.com/v1/tracks/1Iq8oo9XkmmvCQiGOfORiz,https://api.spotify.com/v1/audio-analysis/1Iq8oo9XkmmvCQiGOfORiz,229478.0,4.0
0cVyQfDyRnMJ0V3rjjdlU3,Lil Boo Thang,Paul Russell,0.85,0.699,0.0,-3.292,1.0,0.0776,0.152,0.0,0.32,0.915,114.481,audio_features,spotify:track:0cVyQfDyRnMJ0V3rjjdlU3,https://api.spotify.com/v1/tracks/0cVyQfDyRnMJ0V3rjjdlU3,https://api.spotify.com/v1/audio-analysis/0cVyQfDyRnMJ0V3rjjdlU3,114234.0,4.0
7DSAEUvxU8FajXtRloy8M0,Flowers,Miley Cyrus,0.706,0.691,0.0,-4.775,1.0,0.0633,0.0584,6.99e-05,0.0232,0.632,118.048,audio_features,spotify:track:7DSAEUvxU8FajXtRloy8M0,https://api.spotify.com/v1/tracks/7DSAEUvxU8FajXtRloy8M0,https://api.spotify.com/v1/audio-analysis/7DSAEUvxU8FajXtRloy8M0,200600.0,4.0
1yeB8MUNeLo9Ek1UEpsyz6,Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,0.645,0.729,2.0,-4.56,1.0,0.0528,0.0377,0.0,0.384,0.142,146.01,audio_features,spotify:track:1yeB8MUNeLo9Ek1UEpsyz6,https://api.spotify.com/v1/tracks/1yeB8MUNeLo9Ek1UEpsyz6,https://api.spotify.com/v1/audio-analysis/1yeB8MUNeLo9Ek1UEpsyz6,319192.0,4.0
1a73gcEg6h6Re6hHXoVltJ,FTCU,Nicki Minaj,0.928,0.458,11.0,-6.751,1.0,0.187,0.0175,0.000446,0.118,0.242,144.995,audio_features,spotify:track:1a73gcEg6h6Re6hHXoVltJ,https://api.spotify.com/v1/tracks/1a73gcEg6h6Re6hHXoVltJ,https://api.spotify.com/v1/audio-analysis/1a73gcEg6h6Re6hHXoVltJ,172138.0,4.0
7MSWxMumjz6lHj7oRApNbg,White Horse,Chris Stapleton,0.353,0.77,1.0,-11.066,0.0,0.0493,0.0016,0.598,0.109,0.224,145.225,audio_features,spotify:track:7MSWxMumjz6lHj7oRApNbg,https://api.spotify.com/v1/tracks/7MSWxMumjz6lHj7oRApNbg,https://api.spotify.com/v1/audio-analysis/7MSWxMumjz6lHj7oRApNbg,267893.0,4.0
0mflMxspEfB0VbI1kyLiAv,Stick Season,Noah Kahan,0.662,0.488,9.0,-6.894,1.0,0.0682,0.782,0.0,0.102,0.817,117.913,audio_features,spotify:track:0mflMxspEfB0VbI1kyLiAv,https://api.spotify.com/v1/tracks/0mflMxspEfB0VbI1kyLiAv,https://api.spotify.com/v1/audio-analysis/0mflMxspEfB0VbI1kyLiAv,182347.0,4.0
6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,0.444,0.0911,0.0,-17.665,1.0,0.0307,0.959,1.05e-06,0.098,0.142,78.403,audio_features,spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q,https://api.spotify.com/v1/tracks/6wf7Yu7cxBSPrRlWeSeK0Q,https://api.spotify.com/v1/audio-analysis/6wf7Yu7cxBSPrRlWeSeK0Q,222370.0,4.0
1kuGVB7EU95pJObxwvfwKS,vampire,Olivia Rodrigo,0.511,0.532,5.0,-5.745,1.0,0.0578,0.177,0.0,0.291,0.35,138.005,audio_features,spotify:track:1kuGVB7EU95pJObxwvfwKS,https://api.spotify.com/v1/tracks/1kuGVB7EU95pJObxwvfwKS,https://api.spotify.com/v1/audio-analysis/1kuGVB7EU95pJObxwvfwKS,219724.0,4.0
07on0OB2cdPt79IFsgdRUy,Need A Favor,Jelly Roll,0.502,0.771,6.0,-4.246,1.0,0.032,0.0123,1.82e-05,0.0801,0.557,157.978,audio_features,spotify:track:07on0OB2cdPt79IFsgdRUy,https://api.spotify.com/v1/tracks/07on0OB2cdPt79IFsgdRUy,https://api.spotify.com/v1/audio-analysis/07on0OB2cdPt79IFsgdRUy,197400.0,4.0
11C4y2Yz1XbHmaQwO06s9f,Dance The Night,Dua Lipa,0.671,0.845,11.0,-4.93,0.0,0.048,0.0207,0.0,0.329,0.775,110.056,audio_features,spotify:track:11C4y2Yz1XbHmaQwO06s9f,https://api.spotify.com/v1/tracks/11C4y2Yz1XbHmaQwO06s9f,https://api.spotify.com/v1/audio-analysis/11C4y2Yz1XbHmaQwO06s9f,176579.0,4.0
4rXLjWdF2ZZpXCVTfWcshS,fukumean,Gunna,0.847,0.622,1.0,-6.747,0.0,0.0903,0.119,0.0,0.285,0.22,130.001,audio_features,spotify:track:4rXLjWdF2ZZpXCVTfWcshS,https://api.spotify.com/v1/tracks/4rXLjWdF2ZZpXCVTfWcshS,https://api.spotify.com/v1/audio-analysis/4rXLjWdF2ZZpXCVTfWcshS,125040.0,4.0
5ya0TmUQw2wHMkq36rPsnd,World on Fire,Nate Smith,0.461,0.887,11.0,-4.871,0.0,0.0429,0.000219,0.0,0.104,0.411,95.964,audio_features,spotify:track:5ya0TmUQw2wHMkq36rPsnd,https://api.spotify.com/v1/tracks/5ya0TmUQw2wHMkq36rPsnd,https://api.spotify.com/v1/audio-analysis/5ya0TmUQw2wHMkq36rPsnd,189987.0,4.0
4OMJGnvZfDvsePyCwRGO7X,Houdini,Dua Lipa,0.744,0.789,9.0,-4.876,0.0,0.059,0.0036,0.00144,0.0947,0.866,116.985,audio_features,spotify:track:4OMJGnvZfDvsePyCwRGO7X,https://api.spotify.com/v1/tracks/4OMJGnvZfDvsePyCwRGO7X,https://api.spotify.com/v1/audio-analysis/4OMJGnvZfDvsePyCwRGO7X,185918.0,4.0
4RvWPyQ5RL0ao9LPZeSouE,Everybody Wants To Rule The World,Tears For Fears,0.645,0.795,7.0,-12.095,1.0,0.0527,0.347,0.00389,0.104,0.535,112.067,audio_features,spotify:track:4RvWPyQ5RL0ao9LPZeSouE,https://api.spotify.com/v1/tracks/4RvWPyQ5RL0ao9LPZeSouE,https://api.spotify.com/v1/audio-analysis/4RvWPyQ5RL0ao9LPZeSouE,251489.0,4.0
1rnYNAJPAb586NhetosdNW,Save Me,Jelly Roll,0.677,0.404,0.0,-9.552,1.0,0.027,0.653,0.0,0.249,0.355,83.087,audio_features,spotify:track:1rnYNAJPAb586NhetosdNW,https://api.spotify.com/v1/tracks/1rnYNAJPAb586NhetosdNW,https://api.spotify.com/v1/audio-analysis/1rnYNAJPAb586NhetosdNW,240723.0,3.0
7aqfrAY2p9BUSiupwk3svU,First Person Shooter (feat. J. Cole),Drake,0.47,0.64,2.0,-7.779,1.0,0.32,0.0277,0.0,0.382,0.248,163.92,audio_features,spotify:track:7aqfrAY2p9BUSiupwk3svU,https://api.spotify.com/v1/tracks/7aqfrAY2p9BUSiupwk3svU,https://api.spotify.com/v1/audio-analysis/7aqfrAY2p9BUSiupwk3svU,247444.0,4.0
41WQUSINanQHfhfKpFDsms,Used To Be Young,Miley Cyrus,0.451,0.632,4.0,-3.843,1.0,0.0475,0.6,0.0,0.139,0.455,147.06,audio_features,spotify:track:41WQUSINanQHfhfKpFDsms,https://api.spotify.com/v1/tracks/41WQUSINanQHfhfKpFDsms,https://api.spotify.com/v1/audio-analysis/41WQUSINanQHfhfKpFDsms,190461.0,4.0
3OHfY25tqY28d16oZczHc8,Kill Bill,SZA,0.644,0.728,8.0,-5.75,1.0,0.0351,0.0543,0.169,0.161,0.43,88.993,audio_features,spotify:track:3OHfY25tqY28d16oZczHc8,https://api.spotify.com/v1/tracks/3OHfY25tqY28d16oZczHc8,https://api.spotify.com/v1/audio-analysis/3OHfY25tqY28d16oZczHc8,153947.0,4.0
0J1YRLYhTG1MBosjidD7OI,Good Good,USHER,0.753,0.669,7.0,-4.914,0.0,0.104,0.0378,0.0,0.122,0.584,140.948,audio_features,spotify:track:0J1YRLYhTG1MBosjidD7OI,https://api.spotify.com/v1/tracks/0J1YRLYhTG1MBosjidD7OI,https://api.spotify.com/v1/audio-analysis/0J1YRLYhTG1MBosjidD7OI,247469.0,4.0
2gT2iF1YK5r54A2PDEXVv8,Pretty Little Poison,Warren Zeiders,0.518,0.557,1.0,-4.839,1.0,0.0332,0.0258,2.46e-06,0.156,0.216,111.865,audio_features,spotify:track:2gT2iF1YK5r54A2PDEXVv8,https://api.spotify.com/v1/tracks/2gT2iF1YK5r54A2PDEXVv8,https://api.spotify.com/v1/audio-analysis/2gT2iF1YK5r54A2PDEXVv8,218160.0,3.0
0R6NfOiLzLj4O5VbYSJAjf,La Diabla,Xavi,0.751,0.819,11.0,-4.372,0.0,0.0409,0.255,0.0,0.236,0.697,131.842,audio_features,spotify:track:0R6NfOiLzLj4O5VbYSJAjf,https://api.spotify.com/v1/tracks/0R6NfOiLzLj4O5VbYSJAjf,https://api.spotify.com/v1/audio-analysis/0R6NfOiLzLj4O5VbYSJAjf,172264.0,3.0
1o8Z7GD1CeOaVBEyuzu4HO,On My Mama,Victoria Monét,0.481,0.539,4.0,-7.865,0.0,0.108,0.551,0.00539,0.12,0.621,153.277,audio_features,spotify:track:1o8Z7GD1CeOaVBEyuzu4HO,https://api.spotify.com/v1/tracks/1o8Z7GD1CeOaVBEyuzu4HO,https://api.spotify.com/v1/audio-analysis/1o8Z7GD1CeOaVBEyuzu4HO,186678.0,4.0
73NzYbpaYvQ7JfpjztFESL,TRUCK BED,HARDY,0.662,0.77,0.0,-4.887,1.0,0.0367,0.0875,0.0,0.35,0.769,132.057,audio_features,spotify:track:73NzYbpaYvQ7JfpjztFESL,https://api.spotify.com/v1/tracks/73NzYbpaYvQ7JfpjztFESL,https://api.spotify.com/v1/audio-analysis/73NzYbpaYvQ7JfpjztFESL,167535.0,4.0
3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,Mitski,0.504,0.308,9.0,-14.958,1.0,0.0321,0.868,0.135,0.158,0.121,113.95,audio_features,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,https://api.spotify.com/v1/tracks/3vkCueOmm7xQDoJ17W1Pm3,https://api.spotify.com/v1/audio-analysis/3vkCueOmm7xQDoJ17W1Pm3,137773.0,4.0
7hZTywPKMdVjJzwdWu11BK,Save Me The Trouble,Dan + Shay,0.444,0.629,9.0,-4.435,1.0,0.0318,0.00544,0.0,0.271,0.376,134.931,audio_features,spotify:track:7hZTywPKMdVjJzwdWu11BK,https://api.spotify.com/v1/tracks/7hZTywPKMdVjJzwdWu11BK,https://api.spotify.com/v1/audio-analysis/7hZTywPKMdVjJzwdWu11BK,200347.0,3.0
0HD8mbiPjp3o94X3EaZp0o,exes,Tate McRae,0.838,0.569,5.0,-6.324,0.0,0.0621,0.152,0.000136,0.102,0.551,136.965,audio_features,spotify:track:0HD8mbiPjp3o94X3EaZp0o,https://api.spotify.com/v1/tracks/0HD8mbiPjp3o94X3EaZp0o,https://api.spotify.com/v1/audio-analysis/0HD8mbiPjp3o94X3EaZp0o,159400.0,4.0
6wsqVwoiVH2kde4k4KKAFU,I KNOW ?,Travis Scott,0.927,0.619,5.0,-4.441,0.0,0.0539,0.0186,0.0,0.104,0.817,117.995,audio_features,spotify:track:6wsqVwoiVH2kde4k4KKAFU,https://api.spotify.com/v1/tracks/6wsqVwoiVH2kde4k4KKAFU,https://api.spotify.com/v1/audio-analysis/6wsqVwoiVH2kde4k4KKAFU,211582.0,4.0
2kE2HFBFkJ0VMw3igxYohz,Wild Ones (feat. Jelly Roll),Jessie Murph,0.65,0.689,0.0,-3.543,1.0,0.0449,0.0878,0.0,0.172,0.294,136.03,audio_features,spotify:track:2kE2HFBFkJ0VMw3igxYohz,https://api.spotify.com/v1/tracks/2kE2HFBFkJ0VMw3igxYohz,https://api.spotify.com/v1/audio-analysis/2kE2HFBFkJ0VMw3igxYohz,142520.0,4.0
5mjYQaktjmjcMKcUIcqz4s,Strangers,Kenya Grace,0.628,0.523,11.0,-8.307,0.0,0.0946,0.701,0.00274,0.219,0.416,169.982,audio_features,spotify:track:5mjYQaktjmjcMKcUIcqz4s,https://api.spotify.com/v1/tracks/5mjYQaktjmjcMKcUIcqz4s,https://api.spotify.com/v1/audio-analysis/5mjYQaktjmjcMKcUIcqz4s,172965.0,4.0
4MjDJD8cW7iVeWInc2Bdyj,MONACO,Bad Bunny,0.787,0.621,4.0,-5.009,0.0,0.068,0.15,0.000402,0.58,0.13,139.056,audio_features,spotify:track:4MjDJD8cW7iVeWInc2Bdyj,https://api.spotify.com/v1/tracks/4MjDJD8cW7iVeWInc2Bdyj,https://api.spotify.com/v1/audio-analysis/4MjDJD8cW7iVeWInc2Bdyj,267194.0,4.0
1udwFobQ1JoOdWPQrp2b6u,Surround Sound (feat. 21 Savage & Baby Tate),JID,0.575,0.56,5.0,-7.302,1.0,0.478,0.173,0.0,0.257,0.471,75.956,audio_features,spotify:track:1udwFobQ1JoOdWPQrp2b6u,https://api.spotify.com/v1/tracks/1udwFobQ1JoOdWPQrp2b6u,https://api.spotify.com/v1/audio-analysis/1udwFobQ1JoOdWPQrp2b6u,229938.0,4.0
6UoKX6uLJwhsnyTp5k5StP,The Painter,Cody Johnson,0.512,0.709,2.0,-5.766,1.0,0.0329,0.0415,4.25e-06,0.107,0.261,97.981,audio_features,spotify:track:6UoKX6uLJwhsnyTp5k5StP,https://api.spotify.com/v1/tracks/6UoKX6uLJwhsnyTp5k5StP,https://api.spotify.com/v1/audio-analysis/6UoKX6uLJwhsnyTp5k5StP,211413.0,4.0
2gyxAWHebV7xPYVxqoi86f,get him back!,Olivia Rodrigo,0.546,0.846,5.0,-5.719,1.0,0.181,0.0135,0.0,0.607,0.74,162.043,audio_features,spotify:track:2gyxAWHebV7xPYVxqoi86f,https://api.spotify.com/v1/tracks/2gyxAWHebV7xPYVxqoi86f,https://api.spotify.com/v1/audio-analysis/2gyxAWHebV7xPYVxqoi86f,211141.0,4.0
6uTPdRrEDeH8Fyg5L5qmeU,Never Lose Me,Flo Milli,0.781,0.567,1.0,-7.857,1.0,0.0969,0.0504,0.0,0.0981,0.0743,121.964,audio_features,spotify:track:6uTPdRrEDeH8Fyg5L5qmeU,https://api.spotify.com/v1/tracks/6uTPdRrEDeH8Fyg5L5qmeU,https://api.spotify.com/v1/audio-analysis/6uTPdRrEDeH8Fyg5L5qmeU,125902.0,4.0
0caJ2wkqp4UmXBwdR2JvB5,Dial Drunk,Noah Kahan,0.693,0.595,8.0,-7.578,1.0,0.0311,0.0969,0.0,0.113,0.646,112.02,audio_features,spotify:track:0caJ2wkqp4UmXBwdR2JvB5,https://api.spotify.com/v1/tracks/0caJ2wkqp4UmXBwdR2JvB5,https://api.spotify.com/v1/audio-analysis/0caJ2wkqp4UmXBwdR2JvB5,213817.0,4.0
0eBFgRxyVSeuT4iyrbukdn,Where the Wild Things Are,Luke Combs,0.708,0.731,3.0,-4.872,1.0,0.0345,0.0189,4.47e-06,0.129,0.379,116.975,audio_features,spotify:track:0eBFgRxyVSeuT4iyrbukdn,https://api.spotify.com/v1/tracks/0eBFgRxyVSeuT4iyrbukdn,https://api.spotify.com/v1/audio-analysis/0eBFgRxyVSeuT4iyrbukdn,239533.0,4.0
5Se32hEA9raeboZerywxka,You Broke My Heart,Drake,0.465,0.7,10.0,-5.163,0.0,0.0893,0.203,0.0,0.299,0.276,120.854,audio_features,spotify:track:5Se32hEA9raeboZerywxka,https://api.spotify.com/v1/tracks/5Se32hEA9raeboZerywxka,https://api.spotify.com/v1/audio-analysis/5Se32hEA9raeboZerywxka,230709.0,4.0
2YSzYUF3jWqb9YP9VXmpjE,IDGAF (feat. Yeat),Drake,0.663,0.67,8.0,-8.399,1.0,0.271,0.0464,8.92e-05,0.205,0.138,136.952,audio_features,spotify:track:2YSzYUF3jWqb9YP9VXmpjE,https://api.spotify.com/v1/tracks/2YSzYUF3jWqb9YP9VXmpjE,https://api.spotify.com/v1/audio-analysis/2YSzYUF3jWqb9YP9VXmpjE,260111.0,4.0
6CvTEtGagmzQvkUzzyKR9k,HARLEY QUINN,Fuerza Regida,0.815,0.741,1.0,-6.04,1.0,0.0569,0.0277,0.0183,0.219,0.591,125.031,audio_features,spotify:track:6CvTEtGagmzQvkUzzyKR9k,https://api.spotify.com/v1/tracks/6CvTEtGagmzQvkUzzyKR9k,https://api.spotify.com/v1/audio-analysis/6CvTEtGagmzQvkUzzyKR9k,143327.0,4.0
09hVlIVHtEE1nLUv6YGZiW,Burn It Down,Parker McCollum,0.461,0.718,2.0,-5.627,1.0,0.0666,0.139,1.66e-05,0.0968,0.334,162.187,audio_features,spotify:track:09hVlIVHtEE1nLUv6YGZiW,https://api.spotify.com/v1/tracks/09hVlIVHtEE1nLUv6YGZiW,https://api.spotify.com/v1/audio-analysis/09hVlIVHtEE1nLUv6YGZiW,233869.0,4.0
05WVKTdZhlIMX4qqMLuo0f,BELLAKEO,Peso Pluma,0.72,0.88,9.0,-2.834,1.0,0.101,0.0562,0.06,0.153,0.463,180.011,audio_features,spotify:track:05WVKTdZhlIMX4qqMLuo0f,https://api.spotify.com/v1/tracks/05WVKTdZhlIMX4qqMLuo0f,https://api.spotify.com/v1/audio-analysis/05WVKTdZhlIMX4qqMLuo0f,197333.0,4.0
5XVdHRf4CAJ2Jm0uMIy5qY,La Víctima,Xavi,0.778,0.835,11.0,-3.598,0.0,0.0767,0.152,0.0,0.109,0.666,140.082,audio_features,spotify:track:5XVdHRf4CAJ2Jm0uMIy5qY,https://api.spotify.com/v1/tracks/5XVdHRf4CAJ2Jm0uMIy5qY,https://api.spotify.com/v1/audio-analysis/5XVdHRf4CAJ2Jm0uMIy5qY,156346.0,4.0
2Zo1PcszsT9WQ0ANntJbID,Feather,Sabrina Carpenter,0.787,0.686,6.0,-4.37,0.0,0.0339,0.0893,0.0,0.0927,0.836,123.51,audio_features,spotify:track:2Zo1PcszsT9WQ0ANntJbID,https://api.spotify.com/v1/tracks/2Zo1PcszsT9WQ0ANntJbID,https://api.spotify.com/v1/audio-analysis/2Zo1PcszsT9WQ0ANntJbID,185553.0,4.0
1xWkeSPhf3bZqHY7Ncz8vp,500lbs,Lil Tecca,0.731,0.667,7.0,-7.928,0.0,0.0815,0.134,0.0,0.114,0.485,123.042,audio_features,spotify:track:1xWkeSPhf3bZqHY7Ncz8vp,https://api.spotify.com/v1/tracks/1xWkeSPhf3bZqHY7Ncz8vp,https://api.spotify.com/v1/audio-analysis/1xWkeSPhf3bZqHY7Ncz8vp,144390.0,4.0
3XB5uhhlYSnkxpSihkNQwh,QLONA,KAROL G,0.842,0.756,7.0,-7.409,0.0,0.338,0.525,2.21e-06,0.0871,0.421,169.925,audio_features,spotify:track:3XB5uhhlYSnkxpSihkNQwh,https://api.spotify.com/v1/tracks/3XB5uhhlYSnkxpSihkNQwh,https://api.spotify.com/v1/audio-analysis/3XB5uhhlYSnkxpSihkNQwh,172798.0,4.0
2eGvz6O6tVnh9nKiitDEhZ,I Can Feel It,Kane Brown,0.529,0.866,3.0,-5.816,0.0,0.0452,0.00281,0.00526,0.0287,0.55,116.004,audio_features,spotify:track:2eGvz6O6tVnh9nKiitDEhZ,https://api.spotify.com/v1/tracks/2eGvz6O6tVnh9nKiitDEhZ,https://api.spotify.com/v1/audio-analysis/2eGvz6O6tVnh9nKiitDEhZ,163600.0,4.0
4pCbJC43j3gSqG6Fen6upD,Hey Driver (feat. The War and Treaty),Zach Bryan,0.583,0.351,0.0,-5.836,1.0,0.0306,0.494,0.0,0.368,0.462,79.014,audio_features,spotify:track:4pCbJC43j3gSqG6Fen6upD,https://api.spotify.com/v1/tracks/4pCbJC43j3gSqG6Fen6upD,https://api.spotify.com/v1/audio-analysis/4pCbJC43j3gSqG6Fen6upD,227467.0,4.0
3CWq0pAKKTWb0K4yiglDc4,You’re Losing Me (From The Vault),Taylor Swift,0.747,0.391,0.0,-13.767,1.0,0.052,0.529,0.003,0.111,0.195,102.984,audio_features,spotify:track:3CWq0pAKKTWb0K4yiglDc4,https://api.spotify.com/v1/tracks/3CWq0pAKKTWb0K4yiglDc4,https://api.spotify.com/v1/audio-analysis/3CWq0pAKKTWb0K4yiglDc4,277832.0,4.0
7rr3gguU3TcVnLZD9VzASE,Mind On You,George Birge,0.576,0.815,10.0,-3.999,0.0,0.0267,0.142,0.0,0.267,0.56,130.032,audio_features,spotify:track:7rr3gguU3TcVnLZD9VzASE,https://api.spotify.com/v1/tracks/7rr3gguU3TcVnLZD9VzASE,https://api.spotify.com/v1/audio-analysis/7rr3gguU3TcVnLZD9VzASE,177920.0,4.0
56xHMIfQPoe0prrSi3BGhf,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,Olivia Rodrigo,0.521,0.366,11.0,-7.698,0.0,0.034,0.838,4.11e-06,0.12,0.225,141.965,audio_features,spotify:track:56xHMIfQPoe0prrSi3BGhf,https://api.spotify.com/v1/tracks/56xHMIfQPoe0prrSi3BGhf,https://api.spotify.com/v1/audio-analysis/56xHMIfQPoe0prrSi3BGhf,205484.0,4.0
4l5w5qGInIhwfvpYmPIYdK,Different 'Round Here,Riley Green,0.457,0.725,1.0,-5.979,1.0,0.0318,8.66e-05,0.000126,0.13,0.318,141.936,audio_features,spotify:track:4l5w5qGInIhwfvpYmPIYdK,https://api.spotify.com/v1/tracks/4l5w5qGInIhwfvpYmPIYdK,https://api.spotify.com/v1/audio-analysis/4l5w5qGInIhwfvpYmPIYdK,174992.0,4.0
6fNCrsrdIcgVd2aZZ0nnz4,Según Quién,Maluma,0.909,0.762,9.0,-3.974,1.0,0.0643,0.434,0.0,0.0856,0.843,101.987,audio_features,spotify:track:6fNCrsrdIcgVd2aZZ0nnz4,https://api.spotify.com/v1/tracks/6fNCrsrdIcgVd2aZZ0nnz4,https://api.spotify.com/v1/audio-analysis/6fNCrsrdIcgVd2aZZ0nnz4,142335.0,3.0
73zawW1ttszLRgT9By826D,Man Made A Bar (feat. Eric Church),Morgan Wallen,0.498,0.764,4.0,-5.006,1.0,0.0309,0.123,3.07e-05,0.119,0.489,147.984,audio_features,spotify:track:73zawW1ttszLRgT9By826D,https://api.spotify.com/v1/tracks/73zawW1ttszLRgT9By826D,https://api.spotify.com/v1/audio-analysis/73zawW1ttszLRgT9By826D,191231.0,4.0
